"Name","Platform","Year_of_Release","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Developer","Rating"
"The Legend of Alon D'ar","PS2","2001","Role-Playing","Ubisoft",0.04,0.03,0,0.01,0.08,43,14,"6.7",10,"Stormfront Studios","T"
"NCAA GameBreaker 2000","PS","1999","Sports","989 Studios",0.22,0.15,0,0.03,0.4,NA,NA,"",NA,"",""
"N+","PSP","2007","Platform","Atari",0.03,0,0,0,0.03,79,21,"7.8",18,"Metanet Software Inc., SilverBirch Studios","E"
"NHL 2004","PS2","2003","Sports","Electronic Arts",0.47,0.37,0,0.12,0.97,85,19,"7.6",53,"EA Sports","E"
".hack//Mutation Part 2","PS2","2002","Role-Playing","Atari",0.23,0.18,0.2,0.06,0.68,76,24,"8.9",81,"CyberConnect2","T"
"Bayonetta","X360","2009","Action","Sega",0.51,0.25,0.09,0.08,0.93,90,86,"8",597,"PlatinumGames","M"
"Kiniro no Corda 2 f","PSP","2009","Role-Playing","Tecmo Koei",0,0,0.04,0,0.04,NA,NA,"",NA,"",""
"World Soccer Winning Eleven 9 (JP & Others sales)","PSP","2005","Sports","Konami Digital Entertainment",0.01,0.88,0.31,0,1.2,NA,NA,"",NA,"",""
"Kingdom Hearts","PS3","2013","Role-Playing","Square Enix",0.9,0.35,0.25,0.24,1.74,NA,NA,"",NA,"",""
"Tail Concerto","PS","1998","Adventure","Namco Bandai Games",0.02,0.01,0,0,0.03,NA,NA,"",NA,"",""
"F.E.A.R. 3","X360","2011","Shooter","Warner Bros. Interactive Entertainment",0.3,0.11,0.01,0.04,0.45,75,71,"7",139,"Day 1 Studios","M"
"ESPN NFL 2K5","PS2","2004","Sports","Sega",2.15,0.12,0,0.36,2.62,90,37,"8.2",84,"Visual Concepts","E"
"Devil May Cry","PS2","2001","Action","Capcom",1.36,0.86,0.64,0.13,2.99,94,37,"8.5",466,"Capcom","M"
"Care Bears - Care Quest","GBA","2005","Action","Game Factory",0.02,0.01,0,0,0.03,NA,NA,"",NA,"",""
"Zero no Tsukaima: Muma ga Tsumugu Yokaze no Nocturne","PS2","2007","Adventure","Marvelous Interactive",0,0,0.02,0,0.02,NA,NA,"",NA,"",""
"Alias","PS2","2004","Action","Acclaim Entertainment",0.05,0.04,0,0.01,0.11,64,31,"8",10,"Acclaim Studios Cheltenham","T"
"MotoGP 08","X360","2008","Racing","Capcom",0.11,0.2,0,0.04,0.35,68,20,"5.6",12,"Milestone S.r.l","E"
"Fighting Vipers 2","DC","2000","Fighting","Sega",0,0,0.04,0,0.04,NA,NA,"",NA,"",""
"Magi: The Labyrinth of Beginning","3DS","2013","Role-Playing","Namco Bandai Games",0,0,0.07,0,0.07,NA,NA,"",NA,"",""
"Winter Sports 3: The Great Tournament","X360","2010","Sports","Tradewest",0,0.01,0,0,0.01,NA,NA,"",NA,"49Games","E"
"Bulletstorm","PS3","2011","Shooter","Electronic Arts",0.23,0.2,0.01,0.08,0.53,83,57,"7.7",288,"Epic Games, People Can Fly","M"
"LittleBigPlanet 3","PS4","2014","Platform","Sony Computer Entertainment",0.66,0.93,0.01,0.31,1.91,79,78,"7.1",506,"Sumo Digital","E"
"TMNT","Wii","2007","Action","Ubisoft",0.3,0.03,0,0.03,0.36,60,17,"5.9",11,"Ubisoft Montreal","E10+"
"One Piece: Unlimited World Red","WiiU","2014","Action","Namco Bandai Games",0,0.04,0.02,0,0.06,66,11,"7.8",43,"Ganbarion","T"
"Harukanaru Toki no Naka de 4","PS2","2008","Adventure","Tecmo Koei",0,0,0.07,0,0.07,NA,NA,"",NA,"",""
"Star Trek: The Game","PC","2013","Action","Namco Bandai Games",0,0.02,0,0,0.03,NA,NA,"",NA,"",""
"Kidou Senshi Gundam: Giren no Yabou - Axis no Kyoui V","PS2","2009","Strategy","Namco Bandai Games",0,0,0.07,0,0.07,NA,NA,"",NA,"",""
"7th Dragon","DS","2009","Role-Playing","Sega",0,0,0.14,0,0.14,NA,NA,"",NA,"",""
"Monopoly Streets","PS3","2010","Misc","Electronic Arts",0.16,0.17,0,0.06,0.39,64,11,"6.1",9,"Electronic Arts","E"
"Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 9: CR Fever Captain Harlock","PS2","2007","Misc","D3Publisher",0,0,0.02,0,0.02,NA,NA,"",NA,"",""
"Totally Spies! Totally Party","PS2","2008","Misc","Ubisoft",0.01,0.01,0,0,0.01,NA,NA,"",NA,"",""
"Resident Evil 4","GC","2005","Action","Capcom",0.98,0.42,0.22,0.06,1.69,96,82,"9.4",767,"Capcom","M"
"Sherlock Holmes: Crimes & Punishments","PC","2014","Adventure","Focus Home Interactive",0,0.05,0,0,0.05,NA,NA,"",NA,"",""
"Zoo Tycoon 2 DS","DS","2008","Strategy","THQ",0.24,0.03,0,0.02,0.29,60,17,"5.4",7,"Altron","E"
"Brunswick Pro Bowling","PS2","2007","Sports","505 Games",0.2,0.15,0,0.05,0.4,NA,NA,"tbd",NA,"Point of View","E"
"A.C.E.: Another Century's Episode","PS2","2005","Simulation","Banpresto",0,0,0.26,0,0.26,NA,NA,"",NA,"",""
"Skate 2","X360","2009","Sports","Electronic Arts",0.82,0.17,0.01,0.09,1.09,84,70,"8",72,"EA Black Box","T"
"Zatch Bell! Electric Arena","GBA","2003","Fighting","Banpresto",0.02,0.01,0,0,0.03,NA,NA,"",NA,"",""
"Fallout: New Vegas","X360","2010","Role-Playing","Bethesda Softworks",2.66,1.03,0.04,0.33,4.05,84,81,"8.1",769,"Obsidian Entertainment","M"
"Kao the Kangaroo","GBA","2001","Platform","Titus",0.01,0,0,0,0.01,52,8,"tbd",NA,"Titus Software","E"
"The Amazing Spider-Man (Console Version)","PS3","2012","Action","Activision",0.31,0.35,0,0.13,0.79,NA,NA,"",NA,"",""
"Gun Showdown","PSP","2006","Action","Activision",0.05,0,0,0.01,0.06,73,41,"7.6",9,"Rebellion, Neversoft Entertainment","M"
"C.O.R.E.","DS","2009","Shooter","Graffiti",0.03,0,0,0,0.04,44,16,"6.9",19,"NoWay Studio","M"
"Samurai Jack: The Amulet of Time","GBA","2003","Platform","Zoo Digital Publishing",0.16,0.06,0,0,0.22,63,13,"tbd",NA,"Virtucraft","T"
"Magic: The Gathering - Battlemage","PS","1997","Strategy","Acclaim Entertainment",0.07,0.05,0,0.01,0.12,NA,NA,"",NA,"",""
"Tiger Woods PGA Tour 14","X360","2013","Sports","Electronic Arts",0.21,0.12,0,0.03,0.35,77,28,"6.2",26,"EA Tiburon","E"
"Homefront: The Revolution","XOne","2016","Shooter","Deep Silver",0.06,0.07,0,0.01,0.14,49,12,"4.1",106,"Deep Silver Dambuster Studios","M"
"Splatterhouse","PS3","N/A","Action","Namco Bandai Games",0.13,0.02,0,0.02,0.16,59,49,"7.7",67,"Namco Bandai Games America, Namco Bandai Games","M"
"UFC Undisputed 3","PS3","2012","Action","THQ",0.55,0.32,0.03,0.13,1.03,86,30,"7.4",92,"Yuke's","T"
"Murdered: Soul Suspect","XOne","2014","Action","Square Enix",0.08,0.07,0,0.01,0.16,51,17,"7",130,"Airtight Games","M"
"Summer Athletics 2009","X360","2009","Sports","49Games",0,0.03,0,0,0.03,NA,NA,"",NA,"",""
"LEGO Jurassic World","XOne","2015","Action","Warner Bros. Interactive Entertainment",0.38,0.22,0,0.06,0.65,70,17,"6.7",44,"TT Games","E10+"
"American Girl: Julie Finds a Way","DS","2007","Adventure","THQ",0.1,0,0,0.01,0.1,NA,NA,"tbd",NA,"Webfoot Technologies","E"
"Knockout Kings 2000","PS","1999","Fighting","Electronic Arts",1.02,0.34,0,0.05,1.41,NA,NA,"",NA,"",""
"WWE SmackDown vs. Raw 2010","PSP","2009","Fighting","THQ",0.25,0.22,0,0.14,0.61,NA,NA,"6.6",8,"Yuke's","T"
"Total War: Shogun 2 - Fall of the Samurai","PC","2012","Strategy","Sega",0.07,0.1,0,0.02,0.2,NA,NA,"",NA,"",""
"Brave Fencer Musashi","PS","1998","Role-Playing","SquareSoft",0.25,0.17,0.65,0.07,1.14,81,12,"8.5",17,"SquareSoft","E"
"Kyokugen Dasshutsu ADV: Zennin Shiboudesu","PSV","2012","Adventure","ChunSoft",0,0,0.03,0,0.03,NA,NA,"",NA,"",""
"NBA 2K9","PS2","2008","Sports","Take-Two Interactive",0.34,0.01,0,0.06,0.41,NA,NA,"8",4,"Visual Concepts","E"
"Steins;Gate: Senkei Kousoku no Phonogram","X360","2013","Adventure","5pb",0,0,0.02,0,0.02,NA,NA,"",NA,"",""
"Pro Yakyuu Family Stadium '88","NES","1988","Sports","Namco Bandai Games",0.1,0,1.08,0,1.18,NA,NA,"",NA,"",""
"G-Force","PS3","2009","Action","Disney Interactive Studios",0.13,0.06,0,0.03,0.22,68,22,"7.6",7,"Eurocom Entertainment Software","E10+"
"Kirby Super Star Ultra","DS","2008","Platform","Nintendo",1.55,0.04,1.19,0.15,2.92,76,40,"8.8",76,"HAL Labs","E"
"Defender","GC","2002","Misc","Midway Games",0.08,0.02,0,0,0.11,66,14,"tbd",NA,"Inevitable Entertainment","T"
"NERF N-Strike","Wii","2008","Shooter","Electronic Arts",0.91,0.09,0,0.09,1.09,66,13,"4.4",7,"EA Redwood Shores, EA Salt Lake","E10+"
"Oyaku de Asoberu DS Ehon: Ukkari Penelope","DS","2008","Simulation","Tecmo Koei",0,0,0.02,0,0.02,NA,NA,"",NA,"",""
"Doukyuusei","TG16","1995","Adventure","NEC",0,0,0.14,0,0.14,NA,NA,"",NA,"",""
"PoPoLoCrois Monogatari","PS","1996","Role-Playing","Sony Computer Entertainment",0,0,0.46,0.03,0.5,NA,NA,"",NA,"",""
"Strike Witches 2: Iyasu Naosu Punipunisuru","DS","2010","Action","Kadokawa Shoten",0,0,0.02,0,0.02,NA,NA,"",NA,"",""
"Blur","PS3","2010","Racing","Activision",0.22,0.36,0.02,0.12,0.72,81,58,"8.2",86,"Bizarre Creations","E10+"
"Shrek the Third","Wii","2007","Action","Activision",0.25,0.01,0,0.02,0.28,57,28,"6.7",7,"Amaze Entertainment","E10+"
"Donkey Kong 64","N64","1999","Platform","Nintendo",3.33,0.79,1.09,0.06,5.27,NA,NA,"",NA,"",""
"Karaoke Revolution Presents American Idol Encore","Wii","2008","Misc","Konami Digital Entertainment",0.42,0,0,0.03,0.45,NA,NA,"7.8",21,"Blitz Games","E"
"The Powerpuff Girls: Him and Seek","GBA","2002","Platform","BAM! Entertainment",0.31,0.11,0,0.01,0.43,NA,NA,"",NA,"",""
"Bujingai: The Forsaken City","PS2","2003","Fighting","505 Games",0.05,0.04,0,0.01,0.1,72,28,"7.5",14,"Taito Corporation","T"
"Armored Core 2: Another Age","PS2","2001","Simulation","Metro 3D",0.11,0.08,0.19,0.03,0.41,75,16,"8.8",30,"From Software","T"
"Rugby League Live","PS3","2010","Sports","Home Entertainment Suppliers",0,0.02,0,0.01,0.03,NA,NA,"",NA,"",""
"Piglet's Big Game","PS2","2003","Platform","Gotham Games",0.05,0.04,0,0.01,0.1,NA,NA,"tbd",NA,"Doki Denki","E"
"Wizardry VI: Bane of the Cosmic Forge","SNES","1995","Role-Playing","ASCII Entertainment",0,0,0.1,0,0.1,NA,NA,"",NA,"",""
"Xena: Warrior Princess - The Talisman of Fate","N64","1999","Fighting","Titus",0.23,0.06,0,0,0.29,NA,NA,"",NA,"",""
"The X-Factor","PS3","2010","Misc","Deep Silver",0,0.1,0,0.03,0.13,NA,NA,"",NA,"",""
"Rune Factory: Frontier","Wii","2008","Role-Playing","Rising Star Games",0.16,0.13,0.04,0.03,0.37,79,34,"8.5",39,"Neverland","E10+"
"Super Power League 2","SNES","1994","Sports","Hudson Soft",0,0,0.33,0,0.33,NA,NA,"",NA,"",""
"Dave Mirra BMX Challenge","PSP","2006","Sports","Oxygen Interactive",0.06,0,0,0.01,0.07,32,11,"4.6",10,"Left Field Productions","E"
"Horsez","DS","2006","Simulation","Ubisoft",0.38,0.01,0,0.03,0.42,NA,NA,"8.7",14,"Virtual Toys","E"
"International Superstar Soccer Pro '98","PS","1998","Sports","Konami Digital Entertainment",0.02,0.02,0.35,0.03,0.42,NA,NA,"",NA,"",""
"Backyard NFL Football","GC","2002","Sports","Infogrames",0.2,0.05,0,0.01,0.26,NA,NA,"",NA,"",""
"Alien: Isolation","XOne","2014","Shooter","Sega",0.22,0.24,0,0.04,0.51,78,24,"7.8",314,"Creative Assembly","M"
"Army Men: Green Rogue","PS","2001","Action","3DO",0.04,0.02,0,0,0.07,NA,NA,"",NA,"",""
"Front Line","2600","1981","Action","Taito",0.22,0.01,0,0,0.24,NA,NA,"",NA,"",""
"Renai Revenge","PSV","2015","Adventure","TGL",0,0,0.03,0,0.03,NA,NA,"",NA,"",""
"Pro Evolution Soccer 2017","PS4","2016","Sports","Konami Digital Entertainment",0.02,0.27,0.11,0.05,0.45,85,61,"7.6",478,"Konami","E"
"Sorry! / Aggravation / Scrabble Junior","GBA","2005","Misc","Zoo Digital Publishing",0.18,0.07,0,0,0.25,NA,NA,"",NA,"",""
"Thomas the Tank Engine & Friends","GBA","2004","Adventure","N/A",0.13,0.05,0,0,0.19,NA,NA,"",NA,"",""
"Toy Story 2: Buzz Lightyear to the Rescue!","N64","1999","Platform","Activision",0.71,0.2,0,0.01,0.93,NA,NA,"",NA,"",""
"Pokemon Super Mystery Dungeon","3DS","2015","Role-Playing","Nintendo",0.48,0.35,0.34,0.08,1.25,69,44,"8.8",190,"Spike Chunsoft Co. Ltd., Spike Chunsoft","E"
"Bigfoot King of Crush","Wii","2011","Racing","Zoo Games",0.02,0,0,0,0.02,NA,NA,"tbd",NA,"Zoo Games","E"
"Zathura","PS2","2005","Adventure","Take-Two Interactive",0.06,0.05,0,0.02,0.12,43,16,"2",5,"High Voltage Software","E10+"
"Inversion","PS3","2012","Shooter","Namco Bandai Games",0.03,0.03,0,0.01,0.07,56,23,"5.4",43,"Saber Interactive","M"
"Way of the Samurai 4","PS3","2011","Action","Nippon Ichi Software",0,0.03,0.16,0.01,0.19,58,25,"6.5",15,"Acquire","M"
"Dragon Ball Z: Burst Limit","PS3","2008","Fighting","Atari",0.22,0.33,0.18,0.12,0.85,71,32,"7.2",51,"Dimps Corporation, Namco Bandai Games","T"
"X-COM: UFO Defense","PS","1995","Strategy","Microprose",0.05,0.04,0,0.01,0.09,NA,NA,"",NA,"",""
"Kingdom Hearts: Birth by Sleep","PSP","2010","Role-Playing","Square Enix",0.63,0.41,0.75,0.26,2.06,82,62,"8.6",208,"Square Enix","E10+"
"Namco Museum Vol.1","PS","1995","Misc","Sony Computer Entertainment",2.12,1.44,0.22,0.06,3.84,NA,NA,"",NA,"",""
"Magical ZhuZhu Princess: Carriages & Castles","DS","2011","Simulation","Activision",0.13,0.04,0,0.01,0.19,NA,NA,"",NA,"",""
"Rugby 08","PS2","2007","Sports","Electronic Arts",0.02,0.01,0,0,0.04,74,21,"7.4",25,"EA Canada","E"
"Mahjongg Mysteries: Ancient Egypt","DS","2010","Puzzle","Avanquest",0.07,0.11,0,0.02,0.2,NA,NA,"",NA,"",""
"Madagascar","GBA","2005","Platform","Activision",0.62,0.24,0,0.03,0.89,71,6,"tbd",NA,"Vicarious Visions","E"
"Tiger Woods PGA Tour 08","PS2","2007","Sports","Electronic Arts",0.19,0.15,0,0.05,0.39,65,10,"tbd",NA,"EA Salt Lake","E"
"PaRappa The Rapper","PSP","2006","Misc","Sony Computer Entertainment",0.11,0,0.02,0.02,0.14,67,43,"5.2",16,"Epics","E"
"Metal Gear Solid: Digital Graphic Novel","PSP","2006","Misc","Konami Digital Entertainment",0.02,0,0.02,0,0.04,78,22,"7.2",21,"Kojima Productions","M"
"Science Papa","Wii","2009","Misc","Activision",0.11,0.01,0,0.01,0.13,NA,NA,"tbd",NA,"Activision","E"
"Summoner","PS2","2000","Role-Playing","THQ",0.25,0.2,0,0.07,0.51,74,16,"7.8",12,"Volition Inc.","T"
"Steel Battalion: Line of Contact","XB","2004","Simulation","Capcom",0.02,0.01,0,0,0.02,70,19,"8",8,"Capcom","T"
"Super Monkey Ball Adventure","PSP","2006","Platform","Sega",0.05,0.02,0,0.01,0.08,56,23,"5.9",7,"TT Games","E"
"BlazBlue: Calamity Trigger","PC","2010","Fighting","PQube",0,0.01,0,0,0.01,NA,NA,"8.7",26,"Arc System Works","T"
"James Bond 007: Agent Under Fire","GC","2002","Shooter","Electronic Arts",0.56,0.15,0,0.02,0.72,74,16,"6.8",25,"Electronic Arts","T"
"Killer Instinct Gold","N64","1996","Fighting","Nintendo",0.61,0.19,0,0.01,0.82,NA,NA,"",NA,"",""
"Sidewinder Max","PS2","2000","Simulation","Asmik Ace Entertainment",0,0,0.09,0,0.09,NA,NA,"",NA,"",""
"Champion Jockey: G1 Jockey & Gallop Racer","X360","2011","Sports","Tecmo Koei",0,0.05,0,0.01,0.06,NA,NA,"",NA,"",""
"Clannad","PS2","2006","Adventure","Interchannel",0,0,0.04,0,0.04,NA,NA,"",NA,"",""
"Deadliest Catch: Sea of Chaos","Wii","2010","Sports","Crave Entertainment",0.11,0,0,0.01,0.12,NA,NA,"tbd",NA,"Crave","E10+"
"Farming Simulator 17","PS4","2016","Simulation","Focus Home Interactive",0.05,0.31,0,0.06,0.41,69,17,"8.7",12,"Maximum Games","E"
"Kingdom Hearts","PS2","2002","Role-Playing","Sony Computer Entertainment",3.64,1.2,1.49,0.07,6.4,85,46,"8.8",597,"SquareSoft","E"
"Vancouver 2010 - The Official Video Game of the Olympic Winter Games","X360","2010","Sports","Sega",0.08,0.12,0,0.02,0.23,NA,NA,"",NA,"",""
"MotoGP 09/10","PS3","2010","Racing","Capcom",0.05,0.13,0,0.04,0.22,70,42,"5.4",28,"Monumental Games","E"
"Egg Mania: Eggstreme Madness","XB","2002","Puzzle","Kemco",0.01,0,0,0,0.01,58,7,"tbd",NA,"HotGen","E"
"Story Hour: Adventures","Wii","2008","Adventure","Zoo Digital Publishing",0.03,0,0,0,0.03,NA,NA,"tbd",NA,"Other Ocean Interactive","E"
"Colony Wars III: Red Sun","PS","2000","Simulation","Psygnosis",0.07,0.05,0,0.01,0.12,NA,NA,"",NA,"",""
"Suzumiya Haruhi no Tsuisou","PS3","2011","Adventure","Namco Bandai Games",0,0,0.03,0,0.03,NA,NA,"",NA,"",""
"Deception IV: Blood Ties","PSV","2014","Action","Tecmo Koei",0.02,0.02,0.07,0.01,0.13,67,19,"7.5",61,"Koei Tecmo Games","M"
"Pocket Pets","DS","2007","Simulation","O3 Entertainment",0.1,0,0,0.01,0.11,NA,NA,"",NA,"Agatsuma Entertainment","E"
"Game of Thrones","X360","2012","Role-Playing","Focus Home Interactive",0.15,0.08,0,0.02,0.25,52,35,"5.2",126,"Cyanide, Cyanide Studios","M"
"MX SuperFly featuring Ricky Carmichael","XB","2002","Racing","THQ",0.07,0.02,0,0,0.1,NA,NA,"",NA,"",""
"NBA 2K14","PS3","2013","Sports","Take-Two Interactive",1.44,0.31,0.04,0.32,2.11,84,26,"4.9",142,"Visual Concepts","E"
"Midway Arcade Treasures","XB","2003","Misc","Midway Games",0.33,0.08,0,0.01,0.43,74,22,"tbd",NA,"Midway","T"
"Dead Space 3","PC","N/A","Action","Electronic Arts",0.02,0.16,0,0.02,0.19,78,16,"6",1096,"Visceral Games","M"
"GOTHA: Ismailia Seneki","SAT","1995","Strategy","Sega",0,0,0.08,0,0.08,NA,NA,"",NA,"",""
"Suzumiya Haruhi no Heiretsu","Wii","2009","Adventure","Sega",0,0,0.02,0,0.02,NA,NA,"",NA,"",""
"Mega Man X5","PS","2000","Platform","Capcom",0.3,0.21,0.2,0.05,0.75,76,10,"8.9",55,"Capcom","E"
"Dino Master: Dig Discover Duel","DS","2005","Strategy","Majesco Entertainment",0.06,0,0,0,0.07,NA,NA,"",NA,"",""
"Tom Clancy's Ghost Recon: Future Soldier","X360","2012","Shooter","Ubisoft",0.93,0.4,0.02,0.12,1.47,79,75,"7.2",334,"Ubisoft Paris","M"
"Mobile Suit Gundam Seed Destiny: Generation of C.E.","PS2","2005","Action","Namco Bandai Games",0,0,0.18,0,0.18,NA,NA,"",NA,"",""
"Metal Gear Solid HD Edition","X360","2011","Action","Konami Digital Entertainment",0,0,0.01,0,0.01,NA,NA,"tbd",NA,"Konami","M"
"Tetris DX","GB","1998","Puzzle","Nintendo",1.06,0.6,0.2,0.07,1.93,NA,NA,"",NA,"",""
"One Piece: Grand Battle!","PS","2001","Fighting","Atari",0,0,0.46,0.03,0.49,NA,NA,"",NA,"",""
"The LEGO Movie Videogame","PC","2014","Action","Warner Bros. Interactive Entertainment",0.02,0.04,0,0,0.06,68,7,"6.8",33,"TT Games","E10+"
"Star Wars: Battlefront II","PS2","2005","Shooter","LucasArts",2.18,1.02,0.03,0.37,3.59,84,30,"9",268,"Pandemic Studios","T"
"NASCAR Thunder 2002","PS","2001","Racing","Electronic Arts",0.23,0.16,0,0.03,0.42,69,8,"6.9",10,"Black Box","E"
"UEFA Euro 2016","PS4","2016","Sports","Konami Digital Entertainment",0,0.22,0.04,0.04,0.29,72,7,"6.6",8,"Konami","E"
"Sky Odyssey","PS2","2000","Simulation","Sony Computer Entertainment",0.16,0.12,0,0.04,0.32,79,18,"8.4",9,"CAProduction","E"
"Rugby World Cup 2015","PS3","2015","Sports","Ubisoft",0,0.05,0,0.01,0.06,NA,NA,"tbd",NA,"HB Studios Multimedia","E"
"Puzzle & Dragons Z + Super Mario Bros. Edition","3DS","2015","Puzzle","Nintendo",0.06,0.07,0.34,0.01,0.48,NA,NA,"",NA,"",""
"Major League Baseball Featuring Ken Griffey Jr","N64","1998","Sports","Nintendo",0.75,0.03,0,0.01,0.79,NA,NA,"",NA,"",""
"Saint Seiya: The Hades","PS2","2006","Fighting","Namco Bandai Games",0,0,0.04,0,0.04,NA,NA,"",NA,"",""
"Superman: Countdown to Apokolips","GBA","2003","Platform","Atari",0.03,0.01,0,0,0.04,47,5,"5.7",6,"Mistic Software","E"
"Dementium: The Ward","DS","2007","Shooter","SouthPeak Games",0.15,0.01,0,0.01,0.17,72,48,"7.9",37,"Renegade Kid","M"
"God Eater Off Shot: Tachibana Sakuya-hen Twin Pack & Animation Vol.7","PS4","2016","Action","Namco Bandai Games",0,0,0.01,0,0.01,NA,NA,"",NA,"",""
"Mortal Kombat Trilogy","N64","1996","Fighting","GT Interactive",0.72,0.22,0,0.02,0.96,NA,NA,"",NA,"",""
"Beowulf: The Game","X360","2007","Action","Ubisoft",0.36,0.01,0,0.03,0.4,51,23,"4.7",30,"Ubisoft Shanghai","M"
"Mario Kart DS","DS","2005","Racing","Nintendo",9.71,7.47,4.13,1.9,23.21,91,64,"8.6",464,"Nintendo","E"
"NASCAR 09","PS3","2008","Racing","Electronic Arts",0.22,0.01,0,0.02,0.25,65,22,"7.5",10,"EA Games","E"
"Witches & Vampires: The Secrets of Ashburry","DS","2010","Adventure","DTP Entertainment",0.05,0.02,0,0.01,0.08,NA,NA,"",NA,"",""
"The King of Fighters '98: Dream Match Never Ends","PS","1999","Fighting","SNK Playmore",0.05,0.03,0,0.01,0.08,NA,NA,"",NA,"",""
"Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness","DS","2007","Role-Playing","Nintendo",1.83,1.19,1.54,0.37,4.93,NA,NA,"",NA,"",""
"Berzerk","2600","1981","Shooter","Atari",0.68,0.04,0,0.01,0.73,NA,NA,"",NA,"",""
"Prison Break: The Conspiracy","PS3","2010","Action","Deep Silver",0.05,0.15,0,0.05,0.25,42,33,"3.8",20,"ZootFly","T"
"Petz: Dogz Pack","DS","2008","Simulation","Ubisoft",0.56,0,0,0.05,0.61,NA,NA,"",NA,"",""
"Tiger Woods PGA Tour 09","PS2","2008","Sports","Electronic Arts",0.16,0,0,0.21,0.37,NA,NA,"4.3",11,"EA Tiburon","E"
"Imagine: Boutique Owner","DS","2009","Simulation","Ubisoft",0.2,0,0,0.01,0.21,NA,NA,"tbd",NA,"Creative Patterns","E"
"The Monkey King: The Legend Begins","Wii","2007","Shooter","Starfish",0.04,0,0,0,0.04,NA,NA,"tbd",NA,"Opera House","E"
"Ragnarok Odyssey","PSV","2012","Role-Playing","GungHo",0.2,0.01,0.16,0.03,0.4,66,21,"7.8",111,"Game Arts","T"
"Power Rangers Double Pack","GBA","2005","Action","THQ",0.11,0.04,0,0,0.16,NA,NA,"",NA,"",""
"Grand Ages: Medieval","PC","2015","Strategy","Kalypso Media",0,0.05,0,0,0.05,63,11,"5.4",52,"Gaming Minds Studios","T"
"MotoGP 08","PS3","2008","Racing","Capcom",0.07,0.24,0,0.08,0.39,65,21,"6",9,"Milestone S.r.l","E"
"World Series Baseball 2K3","PS2","2003","Sports","Sega",0.12,0.1,0,0.03,0.25,87,21,"8.7",19,"Blue Shift","E"
"LEGO Star Wars III: The Clone Wars","PC","2011","Action","LucasArts",0.1,0.13,0,0.03,0.25,76,14,"7.5",44,"Traveller's Tales","E10+"
"Angry Birds Star Wars","3DS","2013","Strategy","Activision",0.15,0.15,0,0.03,0.34,NA,NA,"3",8,"Exient Entertainment","E"
"NBA 2K2","PS2","2002","Sports","Sega",0.59,0.46,0.01,0.15,1.22,89,19,"7.8",16,"Visual Concepts","E"
"Ping Pals","DS","2004","Misc","THQ",0.1,0,0,0.01,0.11,28,17,"3.9",26,"WayForward","E"
"Blade II","PS2","2002","Action","Activision",0.15,0.12,0,0.04,0.31,49,21,"6.1",14,"Mucky Foot Productions","M"
"BattleBots: Beyond the BattleBox","GBA","2002","Action","Vivendi Games",0.04,0.01,0,0,0.06,53,7,"tbd",NA,"Cave Barn","E"
"Petz: Horsez 2","Wii","2007","Simulation","Ubisoft",0.39,0,0,0.03,0.42,NA,NA,"tbd",NA,"Phoenix Games Studio","E"
"Batman: Arkham City","PC","2011","Action","Warner Bros. Interactive Entertainment",0.16,0.28,0,0.09,0.53,91,27,"8.6",1847,"Rocksteady Studios","T"
"Royal Palace of White Sword and The City of Gentiles","XB","2005","Role-Playing","Take-Two Interactive",0.06,0.02,0,0,0.09,NA,NA,"",NA,"",""
"Tomodachi Life","3DS","2013","Simulation","Nintendo",0.97,2.11,1.9,0.24,5.23,NA,NA,"",NA,"",""
"My Secret World by Imagine","DS","2008","Misc","Ubisoft",0,0.2,0,0,0.2,NA,NA,"8.8",5,"Ubisoft","E"
"Reign of Fire","GC","2002","Shooter","BAM! Entertainment",0.08,0.02,0,0,0.11,54,9,"5.9",7,"Kuju Entertainment","T"
"Space Invaders Extreme","PSP","2008","Shooter","Square Enix",0.06,0.01,0.01,0.01,0.09,84,29,"6.8",13,"Taito Corporation","E"
"Dancing with the Stars: We Dance!","Wii","2008","Misc","Activision",0.35,0,0,0.03,0.38,NA,NA,"",NA,"",""
"The Urbz: Sims in the City","PS2","2004","Simulation","Electronic Arts",0.52,0.95,0,0.29,1.76,70,25,"8.2",24,"Maxis","T"
"Castlevania: Curse of Darkness","PS2","2005","Action","Konami Digital Entertainment",0.18,0.14,0.05,0.05,0.42,70,30,"7.5",46,"Konami","M"
"Mario Party 10","WiiU","2015","Misc","Nintendo",0.69,0.53,0.24,0.12,1.58,66,66,"6.5",279,"Nintendo, Nd Cube","E"
"Momotarou Dentetsu 16","PS2","2006","Misc","Hudson Soft",0,0,0.21,0,0.21,NA,NA,"",NA,"",""
"Turbo: Super Stunt Squad","X360","2013","Sports","D3Publisher",0,0.01,0,0,0.01,NA,NA,"4.5",10,"Monkey Bar Games","E"
"Magna Carta Portable","PSP","2006","Role-Playing","Banpresto",0,0,0.03,0,0.03,NA,NA,"",NA,"",""
"Spin Jam","PS","2000","Puzzle","Empire Interactive",0.17,0.12,0,0.02,0.31,NA,NA,"",NA,"",""
